year,prime_rate,RGDP,ll_provision,net_interest_margin,noninterest_income,noninterest_expense,ROA,ROE,ll_provision,net_interest_margin,noninterest_income,noninterest_expense,ROA,ROE,ll_provision,net_interest_margin,noninterest_income,noninterest_expense,ROA,ROE,ll_provision,net_interest_margin,noninterest_income,noninterest_expense,ROA,ROE,ll_provision,net_interest_margin,noninterest_income,noninterest_expense,ROA,ROE,,,,,,,,,
0,7.50%,"29,720",237843.4922,3.398264774,1.014541585,612796.778,1.061549365,10.30611672,6613.212458,3.463107326,0.865086405,20691.0634,1.056601997,11.04366592,3063.380423,3.542675301,1.433090098,12506.81869,1.126513571,11.62490545,237843.492,3.39826477,1.01454159,612796.778,1.06154937,10.3061167,237843.492,3.39826477,1.01454159,612796.778,1.06154937,10.3061167,,,,,,,,,
0,8.50%,"27,360.94",227666.8662,3.498387614,1.024153388,610590.636,1.11315533,11.64284615,6224.212187,3.508629409,0.92094231,19766.49728,1.064397671,12.28837897,2911.085963,3.546607878,1.149195608,10979.51034,1.107772414,12.90941112,227666.866,3.49838761,1.02415339,610590.636,1.11315533,11.6428462,227666.866,3.49838761,1.02415339,610590.636,1.11315533,11.6428462,,,,,,,,,
0,7.50%,"25,744.11",198477.5102,3.538237681,1.146157103,539536.1829,1.273208519,13.24121925,5715.674443,3.487589292,0.830567815,18067.89926,1.128975695,13.74288441,2735.718982,3.466337771,1.175342047,10027.8017,1.132198809,12.79029692,198477.51,3.53823768,1.1461571,539536.183,1.27320852,13.2412193,198477.51,3.53823768,1.1461571,539536.183,1.27320852,13.2412193,,,,,,,,,
0,3.25%,"23,594.03",175234.0582,3.247057069,1.225238658,495232.6247,1.340466848,12.70391892,5523.04128,3.367866727,1.134063379,18034.15893,1.212378748,11.98894737,2595.313402,3.353456779,1.296486938,9421.650515,1.213876062,11.20821649,175234.058,3.24705707,1.22523866,495232.625,1.34046685,12.7039189,175234.058,3.24705707,1.22523866,495232.625,1.34046685,12.7039189,,,,,,,,,
1,3.25%,"21,322.95",228671.9155,3.429251619,1.360246162,470407.9537,1.102296022,10.19144869,5142.015968,3.514199447,1.248782776,16002.87525,1.185147655,10.96211577,2454.725275,3.563687747,1.34805288,8664.939061,1.125601809,9.848611389,228671.915,3.42925162,1.36024616,470407.954,1.10229602,10.1914487,228671.915,3.42925162,1.36024616,470407.954,1.10229602,10.1914487,,,,,,,,,
0,4.75%,"21,521.40",112635.9038,3.753339884,1.2145417,423706.6511,1.293618289,11.21220603,4152.265444,3.776540826,1.375197473,15400.62452,1.252484062,10.75669884,2040.912162,3.831121753,1.834683752,7742.608108,1.63660424,11.21714286,112635.904,3.75333988,1.2145417,423706.651,1.29361829,11.212206,112635.904,3.75333988,1.2145417,423706.651,1.29361829,11.212206,,,,,,,,,
0,5.50%,"20,656.52",108609.6726,3.802986576,1.153484353,399915.3991,1.30128969,11.74978605,3936.01662,3.800234161,1.037343288,13558.51616,1.158869806,10.41619575,20265.9723,3.884235383,1.863816641,7946.226223,1.599216454,11.32909511,108609.673,3.80298658,1.15348435,399915.399,1.30128969,11.749786,108609.673,3.80298658,1.15348435,399915.399,1.30128969,11.749786,,,,,,,,,
0,4.50%,"19,612.10",102666.0975,3.706940456,1.196319987,367108.9557,1.027296223,9.449299645,3702.091549,3.696360896,1.098336678,12678.51761,0.998380461,8.822033451,1871.917181,3.783982721,1.639440549,7121.292511,1.238799731,9.26461674,102666.098,3.70694046,1.19631999,367108.956,1.02729622,9.44929965,102666.098,3.70694046,1.19631999,367108.956,1.02729622,9.44929965,,,,,,,,,
0,3.75%,"18,804.91",96525.0051,3.630748901,1.214070942,335290.898,1.022815988,9.383143585,3587.231419,3.664056196,1.092654023,12046.80574,1.07318331,9.607322635,1828.586149,3.719726639,1.829226356,7192.552365,1.253118356,9.220785473,96525.0051,3.6307489,1.21407094,335290.898,1.02281599,9.38314359,96525.0051,3.6307489,1.21407094,335290.898,1.02281599,9.38314359,,,,,,,,,
0,3.50%,"18,295.02",89756.33063,3.617780175,1.229307438,315704.1543,1.046179931,9.492883834,3405.921648,3.654687787,1.054373089,11214.70113,1.055971054,9.3123021,1759.695477,3.721628121,1.714348305,6576.970921,1.246450527,9.329273021,89756.3306,3.61778017,1.22930744,315704.154,1.04617993,9.49288383,89756.3306,3.61778017,1.22930744,315704.154,1.04617993,9.49288383,,,,,,,,,
0,3.25%,"17,608.14",88093.8642,3.664243798,1.187984521,304326.5401,1.03024575,9.264058642,3402.573292,3.671607523,0.959646973,10567.03684,0.966834839,8.629938603,1725.129601,3.814237986,1.352357261,6026.621933,1.128385922,8.879723926,88093.8642,3.6642438,1.18798452,304326.54,1.03024575,9.26405864,88093.8642,3.6642438,1.18798452,304326.54,1.03024575,9.26405864,,,,,,,,,
0,3.25%,"16,880.68",93509.77082,3.666782882,1.215819633,286081.874,0.989118243,9.011967576,3483.626833,3.636897517,0.987971489,10080.8629,0.887600175,7.878760997,1771.503666,3.709069779,1.376849073,5771.846774,1.034500802,7.942245048,93509.7708,3.66678288,1.21581963,286081.874,0.98911824,9.01196758,93509.7708,3.66678288,1.21581963,286081.874,0.98911824,9.01196758,,,,,,,,,
0,3.25%,"16,253.97",108078.6648,3.743281539,1.304006355,277805.7888,0.946885811,7.868143161,1854.825106,3.795566223,1.411802341,5792.172779,0.945664468,6.923415667,1854.825106,3.795566223,1.411802341,5792.172779,0.945664468,6.923415667,108078.665,3.74328154,1.30400635,277805.789,0.94688581,7.86814316,108078.665,3.74328154,1.30400635,277805.789,0.94688581,7.86814316,,,,,,,,,
0,3.25%,"15,599.73",123545.163,3.805463703,1.108261083,261251.736,0.625962859,-4.435600273,3626.906993,3.819880606,0.819078066,9267.868296,0.557850027,3.517352342,1004.455533,3.885344853,1.058396892,3262.824168,0.542742188,3.021894094,123545.163,3.8054637,1.10826108,261251.736,0.62596286,-4.4356003,123545.163,3.8054637,1.10826108,261251.736,0.62596286,-4.4356003,,,,,,,,,
0,3.25%,"15,048.97",144694.6346,3.741418786,1.140665287,237056.7845,0.31741775,1.215455141,3612.156556,3.779424689,0.907362776,9170.32681,0.301778011,0.353483366,1891.556136,3.857837158,1.334242187,5455.83094,0.366903933,0.630267624,144694.635,3.74141879,1.14066529,237056.785,0.31741775,1.21545514,144694.635,3.74141879,1.14066529,237056.785,0.31741775,1.21545514,,,,,,,,,
1,3.25%,"14,478.07",136600.3129,3.567739993,1.208386402,235202.724,-0.220234622,-4.670281602,3515.100998,3.639868628,0.842033044,8908.104115,-0.021041219,-1.853356207,1665.633812,3.753333821,1.047689337,4974.80786,0.120302206,-1.00829588,136600.313,3.56773999,1.2083864,235202.724,-0.2202346,-4.6702816,136600.313,3.56773999,1.2083864,235202.724,-0.2202346,-4.6702816,,,,,,,,,
1,3.25%,"14,769.86",99800.57402,3.622521837,1.169592218,204722.9511,0.064139791,0.346275695,2848.662658,3.724662235,0.808755738,8351.847264,0.270099606,2.584467829,1359.983745,3.798833717,1.512516153,5147.527393,0.46052011,3.508633353,99800.574,3.62252184,1.16959222,204722.951,0.06413979,0.3462757,99800.574,3.62252184,1.16959222,204722.951,0.06413979,0.3462757,,,,,,,,,
1,7.25%,"14,474.23",56122.72578,3.758548061,1.413310625,199407.0857,1.014113349,9.803458602,2215.240773,3.948056177,0.897476778,7653.125366,0.95143168,9.57182191,1118.486233,3.987990508,1.317297003,4600.328061,0.932435204,8.476479203,56122.7258,3.75854806,1.41331063,199407.086,1.01411335,9.8034586,56122.7258,3.75854806,1.41331063,199407.086,1.01411335,9.8034586,,,,,,,,,
0,8.25%,"13,815.58",40830.38142,3.916741433,1.518386874,176317.6803,1.237803443,12.5291056,2079.740634,4.131294831,0.97029594,7537.439769,1.121823064,11.56822478,1042.649971,4.137136318,1.165512477,4316.713874,1.06501297,10.27364997,40830.3814,3.91674143,1.51838687,176317.68,1.23780344,12.5291056,40830.3814,3.91674143,1.51838687,176317.68,1.23780344,12.5291056,,,,,,,,,
0,7.25%,"13,039.20",40144.2717,3.971610848,1.664732578,165571.5133,1.382235779,13.24332955,1969.065156,4.158086088,1.093673813,7169.883853,1.155458874,11.93598867,990.0265837,4.180291632,1.115509433,3905.243213,1.092834947,10.93632353,40144.2717,3.97161085,1.66473258,165571.513,1.38223578,13.2433296,40144.2717,3.97161085,1.66473258,165571.513,1.38223578,13.2433296,,,,,,,,,
0,5.25%,"12,217.20",42184.94754,3.928647368,1.459825755,150955.9955,1.263620769,12.96560826,1864.496379,4.102740179,1.256869887,7037.97883,1.134475509,11.56782173,941.2016713,4.114299383,1.117856729,3644.307521,1.063437301,10.50579387,42184.9475,3.92864737,1.45982575,150955.996,1.26362077,12.9656083,42184.9475,3.92864737,1.45982575,150955.996,1.26362077,12.9656083,,,,,,,,,
0,4%,"11,456.45",43218.48419,3.93635294,1.673718603,139313.4989,1.257073173,13.19729553,1775.176823,4.05502793,1.202306476,6363.136561,1.118970436,11.45966812,895.45747,4.085523519,1.286281467,3650.817339,1.0742938,10.57691385,43218.4842,3.93635294,1.6737186,139313.499,1.25707317,13.1972955,43218.4842,3.93635294,1.6737186,139313.499,1.25707317,13.1972955,,,,,,,,,
0,4.25%,"10,929.11",42428.03426,4.163008665,1.61190303,128705.197,1.212619043,13.22519272,1634.976496,4.23008103,1.22458932,5997.709936,1.151452177,12.10146368,843.4209963,4.247679953,1.191859784,3533.545795,1.035969186,10.43835565,42428.0343,4.16300867,1.61190303,128705.197,1.21261904,13.2251927,42428.0343,4.16300867,1.61190303,128705.197,1.21261904,13.2251927,,,,,,,,,
0,4.75%,"10,581.93",38781.64219,4.064456802,1.643701279,119815.3578,1.110817861,12.23178739,1486.56341,4.130712061,1.124004192,5557.203222,1.025719712,10.9764553,765.347215,4.146629535,1.145994732,3121.876627,0.955739104,9.609963561,38781.6422,4.0644568,1.64370128,119815.358,1.11081786,12.2317874,38781.6422,4.0644568,1.64370128,119815.358,1.11081786,12.2317874,,,,,,,,,
0,8.75%,"10,250.95",33447.77413,4.161234255,1.654414094,111830.3284,1.176108888,13.06864578,33447.77413,4.161234255,1.654414094,111830.3284,1.176108888,13.06864578,697.4430956,4.327158657,1.09541179,2879.442084,1.002502935,10.77939808,33447.7741,4.16123425,1.65441409,111830.328,1.17610889,13.0686458,33447.7741,4.16123425,1.65441409,111830.328,1.17610889,13.0686458,,,,,,,,,
0,8.50%,"9,631.17",29663.51077,4.269102637,1.757128366,101694.5793,1.245641715,13.86542381,1266.277315,4.341099204,0.94473221,4717.170995,1.116664626,12.02537482,663.4911937,4.318058023,1.049266899,2729.990215,1.057308687,10.9749364,29663.5108,4.26910264,1.75712837,101694.579,1.24564171,13.8654238,29663.5108,4.26910264,1.75712837,101694.579,1.24564171,13.8654238,,,,,,,,,
0,7.75%,"9,062.82",28327.77523,4.20630017,1.639449237,94613.08274,1.265658228,13.58499283,1202.145793,4.439413605,1.034811234,4554.107553,1.167414465,11.96509082,626.6824486,4.376666948,1.191801242,2645.757532,1.124997972,11.24907221,28327.7752,4.20630017,1.63944924,94613.0827,1.26565823,13.5849928,28327.7752,4.20630017,1.63944924,94613.0827,1.26565823,13.5849928,,,,,,,,,
0,8.50%,"8,577.55",26098.11784,4.344606729,1.460038242,78688.79734,1.250408943,13.78674461,1146.77279,4.540146709,1.001365447,4261.746221,1.208376572,12.60300962,605.9354396,4.526418788,1.237770332,2501.199634,1.189217085,11.91601648,26098.1178,4.34460673,1.46003824,78688.7973,1.25040894,13.7867446,26098.1178,4.34460673,1.46003824,78688.7973,1.25040894,13.7867446,,,,,,,,,
0,8.25%,"8,073.12",24508.42601,4.299822156,1.3020692,72642.35842,1.108738979,12.50928665,1147.170306,4.484546278,1.280592401,4548.391703,1.121590311,11.78056769,594.7959895,4.503718722,0.922035068,2334.05231,1.102195509,11.2105667,24508.426,4.29982216,1.3020692,72642.3584,1.10873898,12.5092867,24508.426,4.29982216,1.3020692,72642.3584,1.10873898,12.5092867,,,,,,,,,
0,8.50%,"7,639.75",23057.09631,4.290405302,1.244030253,63372.65955,1.127750703,12.85500419,1109.120351,4.497291741,1.06963708,4171.125366,1.152588917,12.05169662,571.4008351,4.554676846,0.95474496,2243.297704,1.130663553,11.62935282,23057.0963,4.2904053,1.24403025,63372.6595,1.1277507,12.8550042,23057.0963,4.2904053,1.24403025,63372.6595,1.1277507,12.8550042,,,,,,,,,
0,8.50%,"7,287.24",21755.75766,4.352129702,1.309707822,58615.79467,1.084548107,12.34265631,1067.078571,4.516884672,0.907108499,3963.936508,1.078047729,11.61336508,562.0622522,4.578281514,1.073650016,2195.11935,1.107652997,11.46984933,21755.7577,4.3521297,1.30970782,58615.7947,1.08454811,12.3426563,21755.7577,4.3521297,1.30970782,58615.7947,1.08454811,12.3426563,,,,,,,,,
0,6%,"6,858.56",21372.80211,4.337756587,1.238910154,55612.51057,1.023415085,12.84760472,1054.479834,4.476034759,1.035751718,3926.916321,1.129133481,12.81934265,561.2163787,4.53656419,0.829624822,2028.602554,1.106747206,12.50066315,21372.8021,4.33775659,1.23891015,55612.5106,1.02341509,12.8476047,21372.8021,4.33775659,1.23891015,55612.5106,1.02341509,12.8476047,,,,,,,,,
0,6%,"6,520.33",21403.15,4.275449028,1.11237511,49427.73705,0.88873425,11.60361586,1001.247575,4.480572565,0.994776676,3710.504132,1.039506211,12.19898587,535.6309182,4.524494177,0.816420533,1909.195481,1.002414498,11.5089085,21403.15,4.27544903,1.11237511,49427.7371,0.88873425,11.6036159,21403.15,4.27544903,1.11237511,49427.7371,0.88873425,11.6036159,,,,,,,,,
0,6.50%,"6,158.13",21191.89095,3.858220087,1.01681436,45698.23461,0.514219305,4.295760112,944.9666552,4.122316152,0.943886869,3476.437607,0.714932723,7.955911296,495.0147361,4.221577869,0.807163865,1805.013708,0.72186224,6.398444902,21191.891,3.85822009,1.01681436,45698.2346,0.51421931,4.29576011,21191.891,3.85822009,1.01681436,45698.2346,0.51421931,4.29576011,,,,,,,,,
0,9.50%,"5,963.14",20938.4155,3.572367878,0.915468401,41799.01438,0.174761034,-3.020452856,958.7242167,3.976477643,0.785637164,3197.960183,0.530321576,3.732514911,471.1009443,4.125427338,0.769673124,1713.726473,0.575368578,-1.234563714,20938.4155,3.57236788,0.9154684,41799.0144,0.17476103,-3.0204529,20938.4155,3.57236788,0.9154684,41799.0144,0.17476103,-3.0204529,,,,,,,,,
0,10.50%,"5,641.58",19310.67259,3.351136216,0.933308171,37948.24206,0.149376264,1.54378644,871.3042666,3.869227056,0.826413598,3044.541264,0.546159199,1.945102828,451.5820896,4.091624387,0.762220725,1622.277674,0.510432227,1.733072519,19310.6726,3.35113622,0.93330817,37948.2421,0.14937626,1.54378644,19310.6726,3.35113622,0.93330817,37948.2421,0.14937626,1.54378644,,,,,,,,,
0,10.50%,"5,236.44",15695.20635,3.366339998,0.895318905,33858.92194,0.27119573,-0.409837941,795.1060103,3.875004149,0.80894438,2837.336756,0.517155896,4.905248447,455.0823778,4.045357348,0.818794345,1544.216053,0.388355552,1.232839963,15695.2064,3.36634,0.89531891,33858.9219,0.27119573,-0.4098379,15695.2064,3.36634,0.89531891,33858.9219,0.27119573,-0.4098379,,,,,,,,,
0,8.75%,"4,855.22",16483.06819,3.29858693,0.939975893,31664.87402,0.08685836,-8.140684422,803.6533795,3.82238942,0.834695161,2766.488157,0.379521994,4.322959856,403.8813853,4.068660211,0.786653821,1500.479942,0.378717538,-0.832400354,16483.0682,3.29858693,0.93997589,31664.874,0.08685836,-8.1406844,16483.0682,3.29858693,0.93997589,31664.874,0.08685836,-8.1406844,,,,,,,,,
0,7.50%,"4,579.63",9286.287073,3.329412847,1.018029018,30039.22384,0.472400494,9.886609967,671.1294843,3.855641478,0.830984205,2667.831278,0.599285287,6.751794946,367.6143736,4.1416056,0.786370827,1455.326902,0.472979885,9.623509122,9286.28707,3.32941285,1.01802902,30039.2238,0.47240049,9.88660997,9286.28707,3.32941285,1.01802902,30039.2238,0.47240049,9.88660997,,,,,,,,,
0,9.50%,"4,338.98",3432.7295,4.483086845,0.95074686,14201.791,0.855351722,11.13404607,455.223,4.775190308,0.851562777,2052.8475,0.713204441,5.8689,262.903,4.865617826,0.859578256,1201.126,0.656776318,6.1237,3432.7295,4.48308684,0.95074686,14201.791,0.85535172,11.1340461,3432.7295,4.48308684,0.95074686,14201.791,0.85535172,11.1340461,,,,,,,,,
0,10.75%,"4,037.61",2470.333,4.302840423,0.910168931,11876.5705,0.816756024,10.44696545,361.7145,4.691676326,0.818752848,1880.53,0.860455058,9.955735,211.701,4.749858536,0.804474832,1083.325,0.761299469,8.064265,2470.333,4.30284042,0.91016893,11876.5705,0.81675602,10.4469654,2470.333,4.30284042,0.91016893,11876.5705,0.81675602,10.4469654,,,,,,,,,
